municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario
Municipio El Sauce,2020-01-01,0.0492018833756447,0.3147959252584357,151.691034975859,47.751719708635264,700.2686584414421,195.63963679985778,146.33243947481455,146.4229487834796
Municipio El Sauce,2020-02-01,0.0461177043616772,0.3147959252584357,151.286083647823,47.624242680641544,700.2686584414421,191.08935497210481,143.95693947267122,146.26311473770102
Municipio El Sauce,2020-03-01,0.0552741996943951,0.3147959252584357,150.490161146707,47.37368952046872,700.2686584414421,186.160876176909,141.24372114909187,146.0915987465235
Municipio El Sauce,2020-04-01,0.126846179366112,0.3147959252584357,149.500244882531,47.062067914159066,700.2686584414421,182.9638630805388,138.46421287184566,136.454882796999
Municipio El Sauce,2020-05-01,0.0349458269774914,0.3147959252584357,148.643879420633,46.792487556221516,700.2686584414421,182.5458467994188,136.14138668998342,136.2498285458466
Municipio El Sauce,2020-06-01,0.0625495091080666,0.3147959252584357,148.213417443265,46.65697987976738,700.2686584414421,184.4889671310802,134.59608618198044,136.2879004351725
Municipio El Sauce,2020-07-01,0.0454892180860043,0.3147959252584357,148.16947457966,46.64314684536034,700.2686584414421,187.1016382845974,133.92389928431183,136.59923699832513
Municipio El Sauce,2020-08-01,0.0444227643311024,0.3147959252584357,148.432089202293,46.72581685847849,700.2686584414421,189.1126524755478,134.09439688981556,137.14685064585194
Municipio El Sauce,2020-09-01,0.0636208578944206,0.3147959252584357,148.997788270723,46.90389662014274,700.2686584414421,190.23934881842382,134.99070601026096,137.84769609672196
Municipio El Sauce,2020-10-01,0.0446716174483299,0.3147959252584357,149.862724429355,47.17617499848878,700.2686584414421,190.98470562709002,136.52169966940554,138.65564039891913
Municipio El Sauce,2020-11-01,0.0334091298282146,0.3147959252584357,150.968974174506,47.5244179105805,700.2686584414421,192.6742863581772,138.51517744036502,139.53730454615848
Municipio El Sauce,2020-12-01,0.045264832675457,0.3147959252584357,152.242891560635,47.925441912849784,700.2686584414421,196.0071454456758,140.7987994768787,140.43819642764953
Municipio El Sauce,2021-01-01,0.0453385300934315,0.3147959252584357,153.783547871909,48.41043424186253,700.2686584414421,200.77463813671278,143.1283839595385,141.3025169920886
Municipio El Sauce,2021-02-01,0.0497609935700893,0.3147959252584357,155.513796425812,48.955109436315496,700.2686584414421,205.7796719453428,145.284965350168,142.14299547262272
Municipio El Sauce,2021-03-01,0.0402198396623135,0.3147959252584357,157.227408405625,49.494547505034674,700.2686584414421,209.1717766227418,147.3587114326259,143.0213170850884
Municipio El Sauce,2021-04-01,0.0656229853630066,0.3147959252584357,158.688854599174,49.95460481174835,700.2686584414421,210.5322465916836,149.28342010652833,143.89697970406635
Municipio El Sauce,2021-05-01,0.0484715439379215,0.3147959252584357,159.749124097623,50.288373329535894,700.2686584414421,210.398781030599,151.09226191412273,144.72419421876586
Municipio El Sauce,2021-06-01,0.0435230992734432,0.3147959252584357,160.461618018438,50.51266351257987,700.2686584414421,209.58614706182198,152.89202354065188,145.45868252816567
Municipio El Sauce,2021-07-01,0.0430610328912735,0.3147959252584357,161.02706360835,50.69066348023952,700.2686584414421,209.12362846973002,154.8338689968771,146.1126735836436
Municipio El Sauce,2021-08-01,0.0488903522491455,0.3147959252584357,161.578994515945,50.86440908097461,700.2686584414421,209.6649560680782,156.8542310319847,146.72838413855698
Municipio El Sauce,2021-09-01,0.0372619181871414,0.3147959252584357,162.016833738952,51.00223908429553,700.2686584414421,211.3309121330936,158.68975963212122,147.3037658098787
Municipio El Sauce,2021-10-01,0.0457206405699253,0.3147959252584357,162.292730849732,51.08909037055966,700.2686584414421,213.432054604097,160.0495348874903,147.83622545838324
Municipio El Sauce,2021-11-01,0.0456765219569206,0.3147959252584357,162.508740808214,51.15708942530503,700.2686584414421,215.435093765601,160.8599594600463,148.37506266771967
Municipio El Sauce,2021-12-01,0.0456824190914631,0.3147959252584357,162.722158302165,51.22427238277968,700.2686584414421,217.12099770820836,161.20130980448138,148.97390034135728
Municipio El Sauce,2022-01-01,0.0514146238565445,0.3147959252584357,162.984897090529,51.306981482763995,700.2686584414421,218.4638844248672,161.0175196806084,149.6661907263409
Municipio El Sauce,2022-02-01,0.0497894883155823,0.3147959252584357,163.408524137895,51.44033755110408,700.2686584414421,219.3075662147306,160.4421434179051,150.48600434124572
Municipio El Sauce,2022-03-01,0.0594373680651188,0.3147959252584357,164.109539141473,51.66101421777546,700.2686584414421,219.72950136462458,159.4839050231337,151.3710969748723
Municipio El Sauce,2022-04-01,0.0612417832016945,0.3147959252584357,165.002345977855,51.942066171911385,700.2686584414421,219.39863075041498,158.1471733737828,152.31405855680785
Municipio El Sauce,2022-05-01,0.0783350914716721,0.3147959252584357,165.869645007138,52.21508837231027,700.2686584414421,218.78757998186538,156.56940313847508,153.3546417421392
Municipio El Sauce,2022-06-01,0.0445358902215958,0.3147959252584357,166.478690372869,52.40681337173993,700.2686584414421,218.34430054518398,154.84531956024045,154.4734620416306
Municipio El Sauce,2022-07-01,0.0319534800946712,0.3147959252584357,166.728249648282,52.48537361475039,700.2686584414421,218.08396634523942,153.32069313534637,155.59865874983748
Municipio El Sauce,2022-08-01,0.0385859273374081,0.3147959252584357,166.689882849823,52.47329590293028,700.2686584414421,218.33949939947078,152.3950490901933,156.6059387157626
Municipio El Sauce,2022-09-01,0.055148046463728,0.3147959252584357,166.55391837403,52.43049483997074,700.2686584414421,219.19194333789102,152.46446350837797,157.364692506896
Municipio El Sauce,2022-10-01,0.0934839323163033,0.3147959252584357,166.498253360775,52.41297172061862,700.2686584414421,220.5358506691022,153.5265781242775,157.80171531058318
Municipio El Sauce,2022-11-01,0.0731905922293663,0.3147959252584357,166.554234635324,52.430594397737416,700.2686584414421,221.7416584945484,155.17678521716746,157.92151040358323
Municipio El Sauce,2022-12-01,0.0491936393082142,0.3147959252584357,166.790924427615,52.50510337990089,700.2686584414421,222.12578094537358,157.00593648327364,157.86837481831617
Municipio El Sauce,2023-01-01,0.0758260786533356,0.3147959252584357,167.212617764311,52.637850724001424,700.2686584414421,221.7075259257962,158.96899136862535,157.85267033536496
Municipio El Sauce,2023-02-01,0.0721530169248581,0.3147959252584357,167.825384910544,52.830747324767806,700.2686584414421,220.68011170951482,161.1134182819292,158.10103493261835
Municipio El Sauce,2023-03-01,0.0661888644099236,0.3147959252584357,168.755512465454,53.123547689024065,700.2686584414421,219.5734454509652,163.32357007634155,158.70763262865003
Municipio El Sauce,2023-04-01,0.152878060936928,0.3147959252584357,170.060165919156,53.5342472801238,700.2686584414421,218.4711834393088,165.75984141103257,159.6665729201445
Municipio El Sauce,2023-05-01,0.0922181308269501,0.3147959252584357,171.680809136914,54.04441916137174,700.2686584414421,217.5334376373774,168.29644046851524,160.8644445293731
Municipio El Sauce,2023-06-01,0.173106178641319,0.3147959252584357,173.364220125361,54.57435008107013,700.2686584414421,217.15813625994937,170.59369846359746,162.16791937884608
Municipio El Sauce,2023-07-01,0.0714535340666771,0.3147959252584357,174.776743845326,55.019006792446,700.2686584414421,217.7419498926668,172.2042317008486,163.46792835991357
Municipio El Sauce,2023-08-01,0.0480846539139748,0.3147959252584357,175.711766417268,55.313348088118005,700.2686584414421,218.8221302967654,172.8737025100696,164.60526506527637
Municipio El Sauce,2023-09-01,0.117507800459862,0.3147959252584357,176.151454501248,55.4517601053396,700.2686584414421,219.89974189016078,172.81514612657688,165.44713174986506
Municipio El Sauce,2023-10-01,0.127964198589325,0.3147959252584357,176.289719950539,55.49528550538043,700.2686584414421,221.13033632728238,172.53900373061978,166.0152073544878
Municipio El Sauce,2023-11-01,0.0763229131698608,0.3147959252584357,176.338817142036,55.51074110120532,700.2686584414421,222.3682359693752,172.48396991207642,166.39875657429832
Municipio El Sauce,2023-12-01,0.0482575744390488,0.3147959252584357,176.509762121669,55.564553884237185,700.2686584414421,223.23637158710062,172.6985387719171,166.6631140096575
Municipio El Sauce,2024-01-01,0.0557188615202904,0.3147959252584357,176.808356695562,55.65855023940297,700.2686584414421,223.3432101928554,173.14797379716194,166.92997873020263
Municipio El Sauce,2024-02-01,0.0560610704123974,0.3147959252584357,177.161716728363,55.76978653787791,700.2686584414421,222.47700083723998,173.59025665488693,167.25137596364354
Municipio El Sauce,2024-03-01,0.0561520792543888,0.3147959252584357,177.376665096032,55.83745140816107,700.2686584414421,220.6015322119766,173.8793987292519,167.64828749848562
Municipio El Sauce,2024-04-01,0.067965067923069,0.3147959252584357,177.358194183618,55.83163684019733,700.2686584414421,217.9484616342138,173.85430456575173,168.0996842749446
Municipio El Sauce,2024-05-01,0.0658209323883057,0.3147959252584357,177.186396262752,55.77755555474085,700.2686584414421,214.8827382449396,173.43958018173694,168.5075561284749
Municipio El Sauce,2024-06-01,0,0.3147959252584357,177.03870452819,55.731062798506386,700.2686584414421,211.62582958803017,172.8632982006953,168.8411606849397
Municipio El Sauce,2024-07-01,0.0587684586644173,0.3147959252584357,177.133018654093,55.76075250103496,700.2686584414421,208.8303241847726,172.38561666751605,169.15414440993473
Municipio El Sauce,2024-08-01,0.0783194676041603,0.3147959252584357,177.551800870551,55.892583436346634,700.2686584414421,206.97501189193116,172.08085871068477,169.4920612375005
Municipio El Sauce,2024-09-01,0.0494387932121754,0.3147959252584357,178.225151183691,56.104551371194596,700.2686584414421,206.216634619263,171.77680180207244,169.89702103000525
Municipio El Sauce,2024-10-01,0.0675610974431038,0.3147959252584357,179.070617435472,56.370700702198775,700.2686584414421,206.1556336880116,171.47968059922246,170.34099105066747
Municipio El Sauce,2024-11-01,0.0822950229048729,0.3147959252584357,180.043561792387,56.67697962125881,700.2686584414421,206.632607596417,171.4426564688722,170.84012642540094
Municipio El Sauce,2024-12-01,0.0455006919801235,0.3147959252584357,181.07562490782001,57.001868884606644,700.2686584414421,207.85591169433218,171.88002310485527,171.450476439014
Municipio El Sauce,2025-01-01,0.0688129961490631,0.3147959252584357,182.158050524699,57.3426120581955,700.2686584414421,210.05262126788085,172.71845193551385,172.1276297978319
Municipio El Sauce,2025-02-01,0.0612112022936344,0.3147959252584357,183.288957868323,57.698617081813175,700.2686584414421,213.06115397534222,173.83136253350867,172.78171400487403
Municipio El Sauce,2025-03-01,0.0778926685452461,0.3147959252584357,184.368377063192,58.038413846003685,700.2686584414421,216.4646858132798,175.13468581359368,173.4124707184492
Municipio El Sauce,2025-04-01,0.109913155436516,0.3147959252584357,185.352248647442,58.348132611703136,700.2686584414421,219.93435855010938,176.3553614930357,174.04172570928316
Municipio El Sauce,2025-05-01,0.06657774746418,0.3147959252584357,186.180760080434,58.60894463483905,700.2686584414421,223.00062793658716,177.41845708092967,174.64763593385786
Municipio El Sauce,2025-06-01,0.0603419803082943,0.3147959252584357,186.842800735833,58.81735233551408,700.2686584414421,225.0572077599392,178.38058251192533,175.18186324024762
Municipio El Sauce,2025-07-01,0.0393197275698185,0.3147959252584357,187.477800365819,59.017247631574286,700.2686584414421,225.74212476622762,179.31777724234567,175.6447470529636
Municipio El Sauce,2025-08-01,0.0574717447161674,0.3147959252584357,188.271631877916,59.26714255692416,700.2686584414421,225.24281768916998,180.24920118203133,176.14003879722756
Municipio El Sauce,2025-09-01,0.0528474003076553,0.3147959252584357,189.33945459644,59.6032887976139,700.2686584414421,224.2937234336136,181.03369887322103,176.78801771962515
Municipio El Sauce,2025-10-01,0.0526976883411407,0.3147959252584357,190.587036471036,59.996022488163,700.2686584414421,223.6178563852114,181.40479431075934,177.54853214960445
Municipio El Sauce,2025-11-01,0.0566810742020607,0.3147959252584357,191.80376595096,60.3790439705849,700.2686584414421,223.68925623448882,181.15525389594066,178.29491729879666
Municipio El Sauce,2025-12-01,0.0484299473464489,0.3147959252584357,192.793828104965,60.69071150241826,700.2686584414421,224.54195109506836,180.4931029035903,178.93049264146683
Municipio Santa Lucía,2020-01-01,0.0747449398040771,0.6342162287015873,151.691034975859,96.20491613022988,123.40095465303894,195.63963679985778,146.33243947481455,146.4229487834796
Municipio Santa Lucía,2020-02-01,0.0975464507937431,0.6342162287015873,151.286083647823,95.94808942615519,123.40095465303894,191.08935497210481,143.95693947267122,146.26311473770102
Municipio Santa Lucía,2020-03-01,0.136705681681633,0.6342162287015873,150.490161146707,95.44330245915866,123.40095465303894,186.160876176909,141.24372114909187,146.0915987465235
Municipio Santa Lucía,2020-04-01,0.156651318073273,0.6342162287015873,149.500244882531,94.81548149936259,123.40095465303894,182.9638630805388,138.46421287184566,136.454882796999
Municipio Santa Lucía,2020-05-01,0.109078958630562,0.6342162287015873,148.643879420633,94.27236062572734,123.40095465303894,182.5458467994188,136.14138668998342,136.2498285458466
Municipio Santa Lucía,2020-06-01,0.0911840349435806,0.6342162287015873,148.213417443265,93.99935465384159,123.40095465303894,184.4889671310802,134.59608618198044,136.2879004351725
Municipio Santa Lucía,2020-07-01,0.144673779606819,0.6342162287015873,148.16947457966,93.97148537660767,123.40095465303894,187.1016382845974,133.92389928431183,136.59923699832513
Municipio Santa Lucía,2020-08-01,0.109755858778954,0.6342162287015873,148.432089202293,94.13803983217588,123.40095465303894,189.1126524755478,134.09439688981556,137.14685064585194
Municipio Santa Lucía,2020-09-01,0.163195967674255,0.6342162287015873,148.997788270723,94.49681536193555,123.40095465303894,190.23934881842382,134.99070601026096,137.84769609672196
Municipio Santa Lucía,2020-10-01,0.0763244032859802,0.6342162287015873,149.862724429355,95.04537191053078,123.40095465303894,190.98470562709002,136.52169966940554,138.65564039891913
Municipio Santa Lucía,2020-11-01,0.070490837097168,0.6342162287015873,150.968974174506,95.74697345190253,123.40095465303894,192.6742863581772,138.51517744036502,139.53730454615848
Municipio Santa Lucía,2020-12-01,0.12831337749958,0.6342162287015873,152.242891560635,96.55491253221065,123.40095465303894,196.0071454456758,140.7987994768787,140.43819642764953
Municipio Santa Lucía,2021-01-01,0.106308661401272,0.6342162287015873,153.783547871909,97.53202176767215,123.40095465303894,200.77463813671278,143.1283839595385,141.3025169920886
Municipio Santa Lucía,2021-02-01,0.112722024321556,0.6342162287015873,155.513796425812,98.62937348024487,123.40095465303894,205.7796719453428,145.284965350168,142.14299547262272
Municipio Santa Lucía,2021-03-01,0.0953941345214844,0.6342162287015873,157.227408405625,99.71617400753973,123.40095465303894,209.1717766227418,147.3587114326259,143.0213170850884
Municipio Santa Lucía,2021-04-01,0.0976438298821449,0.6342162287015873,158.688854599174,100.64304690086267,123.40095465303894,210.5322465916836,149.28342010652833,143.89697970406635
Municipio Santa Lucía,2021-05-01,0.0990212559700012,0.6342162287015873,159.749124097623,101.31548702357632,123.40095465303894,210.398781030599,151.09226191412273,144.72419421876586
Municipio Santa Lucía,2021-06-01,0.0491956286132336,0.6342162287015873,160.461618018438,101.76736223100842,123.40095465303894,209.58614706182198,152.89202354065188,145.45868252816567
Municipio Santa Lucía,2021-07-01,0.0878929048776627,0.6342162287015873,161.02706360835,102.12597700057836,123.40095465303894,209.12362846973002,154.8338689968771,146.1126735836436
Municipio Santa Lucía,2021-08-01,0.16154246032238,0.6342162287015873,161.578994515945,102.4760205392971,123.40095465303894,209.6649560680782,156.8542310319847,146.72838413855698
Municipio Santa Lucía,2021-09-01,0.0938628762960434,0.6342162287015873,162.016833738952,102.75370528009023,123.40095465303894,211.3309121330936,158.68975963212122,147.3037658098787
Municipio Santa Lucía,2021-10-01,0.115823097527027,0.6342162287015873,162.292730849732,102.9286837051988,123.40095465303894,213.432054604097,160.0495348874903,147.83622545838324
